vertex angle,acceptance,stat_err
3.025,0.000559538,0
3.075,0.00076268,0
3.125,0.00103166,0
3.175,0.00138488,0
3.225,0.00184489,0
3.275,0.002439,0
3.325,0.00319989,0
3.375,0.00416619,0
3.425,0.00538301,0
3.475,0.00690229,0
3.525,0.00878302,0
3.575,0.0110911,0
3.625,0.0138992,0
3.675,0.0172857,0
3.725,0.0213336,0
3.775,0.0261291,0
3.825,0.031759,0
3.875,0.0383082,0
3.925,0.0458562,0
3.975,0.0544736,0
4.025,0.0642179,0
4.075,0.0751291,0
4.125,0.0872253,0
4.175,0.100498,0
4.225,0.11491,0
4.275,0.130388,0
4.325,0.146824,0
4.375,0.164075,0
4.425,0.181957,0
4.475,0.200252,0
4.525,0.218709,0
4.575,0.237049,0
4.625,0.254972,0
4.675,0.272162,0
4.725,0.288301,0
4.775,0.303072,0
4.825,0.316175,0
4.875,0.327334,0
4.925,0.336308,0
4.975,0.342898,0
5.025,0.346957,0
5.075,0.348391,0
5.125,0.347169,0
5.175,0.343318,0
5.225,0.336926,0
5.275,0.328136,0
5.325,0.317143,0
5.375,0.304186,0
5.425,0.289537,0
5.475,0.273497,0
5.525,0.256379,0
5.575,0.238503,0
5.625,0.220185,0
5.675,0.201726,0
5.725,0.183409,0
5.775,0.165485,0
5.825,0.148177,0
5.875,0.131669,0
5.925,0.11611,0
5.975,0.10161,0
6.025,0.0882444,0
6.075,0.0760534,0
6.125,0.0650477,0
6.175,0.0552112,0
6.225,0.0465055,0
6.275,0.0388744,0
6.325,0.0322482,0
6.375,0.0265478,0
6.425,0.0216887,0
6.475,0.0175841,0
6.525,0.0141478,0
6.575,0.0112964,0
6.625,0.00895107,0
6.675,0.00703866,0
6.725,0.00549272,0
6.775,0.00425369,0
6.825,0.00326909,0
6.875,0.00249328,0
6.925,0.0018871,0
6.975,0.00141743,0
7.025,0.00105655,0
7.075,0.000781561,0
7.125,0.000573741,0
7.175,0.000417976,0
7.225,0.000302181,0
7.275,0.000216804,0
7.325,0.000154365,0
7.375,0.000109071,0
7.425,7.64814e-05,0
7.475,5.32209e-05,0
7.525,3.67529e-05,0
7.575,2.51873e-05,0
7.625,1.71299e-05,0
7.675,1.15614e-05,0
7.725,7.74367e-06,0
7.775,5.14714e-06,0
7.825,3.39521e-06,0
7.875,2.22254e-06,0
7.925,1.44382e-06,0
7.975,9.30809e-07,0
